"State","Population"
Alabama,"4,757,938"
Alaska,"698,895"
Arizona,"6,343,154"
Arkansas,"2,896,843"
California,"36,961,229"
Colorado,"4,972,195"
Connecticut,"3,561,807"
Delaware,"891,730"
District of Columbia,"592,228"
Florida,"18,652,644"
Georgia,"9,620,846"
Hawaii,"1,346,717"
Idaho,"1,554,439"
Illinois,"12,796,778"
Indiana,"6,459,325"
Iowa,"3,032,870"
Kansas,"2,832,704"
Kentucky,"4,317,074"
Louisiana,"4,491,648"
Maine,"1,329,590"
Maryland,"5,730,388"
Massachusetts,"6,517,613"
Michigan,"9,901,591"
Minnesota,"5,281,203"
Mississippi,"2,958,774"
Missouri,"5,961,088"
Montana,"983,982"
Nebraska,"1,812,683"
Nevada,"2,684,665"
New Hampshire,"1,316,102"
New Jersey,"8,755,602"
New Mexico,"2,036,802"
New York,"19,307,066"
North Carolina,"9,449,566"
North Dakota,"664,968"
Ohio,"11,528,896"
Oklahoma,"3,717,572"
Oregon,"3,808,600"
Pennsylvania,"12,666,858"
Rhode Island,"1,053,646"
South Carolina,"4,589,872"
South Dakota,"807,067"
Tennessee,"6,306,019"
Texas,"24,801,761"
Utah,"2,723,421"
Vermont,"624,817"
Virginia,"7,925,937"
Washington,"6,667,426"
West Virginia,"1,847,775"
Wisconsin,"5,669,264"
Wyoming,"559,851"
