,VOT,numWords,SCRIND,SCROUTD,TGTIND,TGTOUTD
0,1,13,47,188,148,72
1,1,50,96,4,180,222
2,1,17,0,99,286,143
3,1,3,97,260,18,22
4,1,4,80,431,262,110
5,1,8,0,2,94,0
6,1,6,0,21,286,33
7,1,18,102,109,53,10
8,0,122,0,1,124,10
9,1,87,54,25,85,51
10,1,12,47,244,51,148
11,1,3,108,116,62,1
12,1,11,0,124,289,122
13,1,6,164,660,38,0
14,1,29,168,311,175,96
15,-1,1,0,4,94,73
16,0,29,0,78,68,0
17,1,51,0,5,79,33
18,1,1,72,251,47,85
19,1,1,64,37,70,46
20,1,16,0,63,74,49
21,1,8,164,660,117,348
22,-1,59,0,1,103,16
23,1,16,0,13,196,0
24,1,11,0,6,155,79
25,1,7,73,38,70,46
26,-1,12,0,9,23,0
27,1,3,0,20,101,38
28,1,2,164,660,77,6
29,1,7,162,350,156,371
30,1,6,51,115,108,141
31,1,22,44,496,92,7
32,1,15,0,32,86,61
33,1,16,356,404,59,7
34,1,23,96,390,106,3
35,1,22,339,175,102,2
36,1,7,0,428,47,20
37,1,31,0,12,131,0
38,1,12,210,190,178,41
39,1,27,11,6,47,20
40,0,16,0,117,71,96
41,-1,13,51,148,63,0
42,1,4,98,63,188,26
43,1,1,76,319,140,114
44,1,17,190,270,148,40
45,1,6,54,289,140,35
46,1,29,121,143,151,54
47,1,13,0,40,49,10
48,1,24,64,583,85,72
49,1,15,0,24,62,18
50,1,5,131,115,85,26
51,1,48,53,96,100,17
52,1,3,0,46,39,59
53,1,177,0,186,94,0
54,1,32,139,152,351,522
55,1,13,65,75,126,19
56,1,4,30,936,102,109
57,1,4,0,82,80,53
58,-1,416,0,65,318,100
59,1,14,0,123,48,72
60,1,9,0,2,444,195
61,-1,25,97,157,20,0
62,-1,9,0,42,87,9
63,0,37,54,65,86,61
64,-1,7,0,6,20,5
65,1,297,65,54,185,110
66,1,6,0,102,444,195
67,-1,4,149,590,44,22
68,-1,7,0,5,185,110
69,1,11,0,21,92,4
70,1,5,31,43,76,119
71,1,15,0,152,86,17
72,-1,7,0,200,99,5
73,1,15,164,660,45,0
74,1,4,0,200,110,39
75,1,18,0,39,88,13
76,1,0,16,19,18,0
77,-1,8,53,328,13,61
78,1,37,0,17,122,0
79,1,5,0,6,83,82
80,-1,22,0,150,318,100
81,1,12,71,54,169,48
82,1,37,59,91,94,40
83,1,30,115,177,88,9
84,1,3,156,160,124,60
85,-1,74,61,114,71,96
86,1,23,80,197,61,5
87,-1,92,0,21,534,40
88,1,15,161,263,128,238
89,1,26,193,159,80,14
90,-1,10,12,164,44,16
91,1,9,356,404,63,13
92,1,1,0,64,29,139
93,1,2,0,86,24,1
94,0,41,0,81,11,1
95,-1,49,43,519,61,1
96,-1,8,200,48,53,320
97,1,16,0,35,163,114
98,1,10,21,56,57,87
99,1,5,91,248,47,244
100,1,108,28,61,80,84
101,-1,24,97,157,91,5
102,1,11,0,12,193,55
103,1,25,179,43,60,1
104,1,29,0,100,444,195
105,1,19,0,2,161,12
106,1,23,39,76,107,39
107,1,4,0,156,109,69
108,1,3,0,71,304,60
109,1,1,0,54,65,10
110,1,32,96,390,39,2
111,1,6,1,51,149,590
112,-1,15,0,3,185,110
113,-1,4,0,32,9,0
114,1,53,339,175,109,1
115,1,84,73,13,286,143
116,1,2,0,5,148,148
117,1,30,113,101,57,50
118,-1,88,111,45,106,41
119,-1,15,0,48,51,3
120,1,6,0,53,86,17
121,1,23,0,1,318,100
122,1,7,16,75,60,2
123,1,19,67,730,88,13
124,1,49,0,1,122,249
125,-1,21,60,99,41,1
126,-1,23,73,15,42,15
127,0,17,90,26,22,2
128,-1,136,55,420,1,14
129,0,76,11,8,20,4
130,1,9,0,124,50,68
131,1,49,106,126,56,76
132,1,19,89,59,147,37
133,1,44,0,6,45,64
134,1,21,0,214,63,129
135,1,1,20,15,255,231
136,1,9,0,248,79,2
137,1,8,0,197,375,8
138,1,20,0,75,180,52
139,1,29,0,29,193,159
140,1,10,118,185,155,79
141,1,25,80,188,117,348
142,1,36,55,420,36,0
143,1,8,0,101,109,40
144,1,7,109,68,97,77
145,1,9,0,124,75,0
146,1,22,95,156,112,8
147,1,3,0,39,91,3
148,1,35,0,127,62,11
149,1,15,78,298,518,6
150,1,18,0,33,37,136
151,-1,17,20,167,69,41
152,0,20,224,207,67,5
153,1,33,48,94,518,6
154,1,26,0,4,136,34
155,1,33,91,257,79,186
156,0,26,3,102,68,8
157,1,7,30,936,49,22
158,1,4,46,57,150,124
159,1,5,85,334,92,36
160,1,24,22,72,122,249
161,1,52,92,196,379,31
162,-1,31,0,26,159,23
163,-1,70,186,63,108,7
164,1,19,0,213,85,40
165,1,22,86,190,181,129
166,1,69,0,4,117,62
167,0,16,0,40,156,74
168,1,5,92,147,113,101
169,1,15,0,2,166,79
170,1,25,65,397,67,6
171,0,14,165,393,125,43
172,1,6,0,428,36,3
173,-1,14,135,127,196,0
174,1,20,0,2,286,143
175,-1,38,26,98,9,0
176,-1,78,0,29,135,15
177,1,46,0,54,185,76
178,1,9,0,213,119,7
179,1,8,0,3,192,237
180,-1,117,106,126,55,3
181,1,3,64,11,163,86
182,-1,13,0,15,132,20
183,1,2,0,47,143,11
184,-1,7,0,200,128,29
185,1,12,54,289,66,2
186,-1,117,128,238,221,60
187,1,30,0,41,148,148
188,-1,87,44,10,183,44
189,1,6,178,228,132,305
190,1,61,97,157,84,0
191,1,18,156,371,34,1
192,1,41,0,162,107,4
193,1,4,169,48,255,231
194,1,2,0,81,222,107
195,1,24,76,255,92,1
196,1,90,210,190,534,40
197,1,16,0,9,90,26
198,1,20,0,91,175,96
199,-1,43,0,22,318,1101
200,1,0,726,206,57,172
201,-1,11,83,119,156,74
202,1,0,0,313,91,5
203,1,20,20,18,38,16
204,-1,6,13,23,26,0
205,1,2,35,200,277,217
206,1,21,74,53,172,22
207,1,34,109,60,107,18
208,-1,33,82,318,46,92
209,1,1,0,17,101,1
210,1,7,0,50,94,73
211,-1,36,7,36,139,89
212,1,16,60,99,68,90
213,1,8,20,314,30,1
214,1,78,0,145,82,44
215,1,4,0,248,126,66
216,-1,47,149,590,30,1
217,1,1,53,328,73,5
218,1,1,0,244,55,28
219,-1,28,72,26,4,0
220,1,1,43,167,63,0
221,1,1,30,936,28,1
222,1,22,86,61,85,7
223,1,4,0,1,44,76
224,-1,59,117,348,204,54
225,1,2,80,293,138,41
226,1,68,148,1,107,25
227,1,2,119,281,155,183
228,1,8,0,150,59,0
229,-1,19,65,6,109,11
230,1,13,0,21,128,37
231,1,0,0,39,15,98
232,1,63,79,186,64,93
233,1,5,165,393,117,115
234,1,9,318,1101,264,241
235,1,6,0,313,48,1
236,1,39,115,174,107,8
237,-1,58,0,59,21,0
238,-1,46,32,11,22,2
239,1,0,8,125,36,6
240,1,3,59,266,58,10
241,1,5,64,86,37,28
242,1,5,0,63,61,51
243,1,14,178,228,217,32
244,1,69,39,76,100,11
245,1,4,0,39,64,22
246,1,42,0,3,102,29
247,-1,36,0,216,139,58
248,1,21,0,230,39,18
249,1,3,53,328,73,106
250,1,11,9,5,45,2
251,-1,37,46,31,12,0
252,-1,12,88,96,117,348
253,1,27,92,196,166,22
254,1,1,0,64,148,40
255,1,50,0,14,107,25
256,1,15,104,47,102,49
257,1,18,154,318,726,206
258,-1,3,99,29,119,38
259,1,10,63,25,55,0
260,1,49,84,322,147,596
261,1,2,44,496,151,81
262,1,22,41,56,57,23
263,-1,62,0,147,80,52
264,1,3,0,29,7,6
265,1,13,106,8,246,33
266,1,1,187,328,142,147
267,-1,37,0,8,80,52
268,1,6,0,19,9,3
269,0,26,79,126,84,19
